system	repo	sha	dir	modules	level	describable	prose	prose_path	licence	checkable	tlc_seconds	why
Einstein's riddle (five-house logic puzzle)	tlaplus_Examples	ceeaa90	specifications/EinsteinRiddle	Einstein	1	yes	yes		MIT	no	0.3	pure constraint-satisfaction over set-valued assignments, no function-valued VARIABLES at all, `Einstein.tla:71` (VARIABLES block, all set/permutation-typed)
Find the maximum value in a sequence	tlaplus_Examples	ceeaa90	specifications/LearnProofs	FindHighest	1	yes	no		MIT	unattempted	0.0	`VARIABLES f, h, i, pc` (FindHighest.tla:29), a scalar running-max `h`, index `i`, and the input sequence `f`; no entity-indexed function
Klotski sliding-block puzzle	tlaplus_Examples	ceeaa90	specifications/SlidingPuzzles	SlidingPuzzles	1	yes	yes	specifications/SlidingPuzzles/README.md	MIT	yes	1.8	`SlidingPuzzles.tla:22` `TypeOK == board \in SUBSET Piece`, pure set state, no function-valued entity state
Missionaries and cannibals river-crossing puzzle	tlaplus_Examples	ceeaa90	specifications/MissionariesAndCannibals	MissionariesAndCannibals	1	yes	yes	specifications/MissionariesAndCannibals/README	MIT	yes	0.6	`MissionariesAndCannibals.tla:95-97` `TypeOK == bank_of_boat \in {"E","W"} /\ who_is_on_bank \in [{"E","W"} -> SUBSET(...)]`, a function over a fixed 2-element domain that is really "which set of people is on which side," the same shape as the wolf/goat/cabbage puzzle scored 1 above, not an entity-indexed function in the level-2 sense
N-Queens puzzle (iterative placement algorithm)	tlaplus_Examples	ceeaa90	specifications/N-Queens/QueensPluscal.toolbox/FourQueens	QueensPluscal	1	yes	yes		MIT	unattempted	0.0	state is two sets of partial/complete solutions (`todo`, `sols`) plus PlusCal's `pc`, set-valued state, no per-entity function, `QueensPluscal.tla:46` (`variables todo = ..., sols = ...`)
N-Queens: place N queens on an N×N board with none attacking another	tlaplus_Examples	ceeaa90	specifications/N-Queens	QueensPluscal	1	yes	yes	specifications/N-Queens/README	MIT	unattempted	0.0	`QueensPluscal.tla:69` `VARIABLES todo, sols, pc`, `todo` and `sols` are *sets* of partial/complete solutions (each solution itself a sequence, but the top-level state variables are sets), matching "scalar or set state, an algorithm with invariants over it"
Quicksort (abstract, one-step partition)	tlaplus_Examples	ceeaa90	specifications/LoopInvariance	Quicksort;MCQuicksort	1	yes	yes	specifications/LoopInvariance/README.txt	MIT	unattempted	0.0	`Quicksort.tla:328-329` `TypeOK == seq \in Seq(Values).. /\ U \in SUBSET(SUBSET(1..Len(seq0)))`, a sequence plus a set of sets, no function-valued entity state; auto_level's 4 over-promotes on this set-of-sets shape
Readers-writers problem (fair FIFO queue)	tlaplus_Examples	ceeaa90	specifications/ReadersWriters	ReadersWriters	1	yes	no		MIT	unattempted	0.0	state is two sets and a queue, `ReadersWriters.tla:11-14` (`readers`, `writers` as sets of actors, `waiting` as a sequence), no indexed function over entities; `Liveness` (`:112-116`) asserts real progress properties, but since the state never reaches function/tier-3 shape it stays level 1 rather than 4, matching `auto_level`'s (correct, for once) reading of `func_state: false`
Repeatedly add two to a variable, prove it stays even	tlaplus_Examples	ceeaa90	specifications/LearnProofs	AddTwo	1	no	no		MIT	unattempted	0.0	`VARIABLE x` (AddTwo.tla:21) is the only state, a bare integer
Simulating a fair 6-sided die from coin flips (Knuth,Yao algorithm)	tlaplus_Examples	ceeaa90	specifications/KnuthYao	KnuthYao	1	yes	no	specifications/KnuthYao/README.md	MIT	unattempted	0.0	`VARIABLES p, state, flip` (line 4-6) are all scalars (a dyadic-rational probability, a state-machine label, a coin-flip result); `Transition` (line 13-19) is a fixed constant lookup table, not variable state, auto_level's 4 comes from that constant table being flagged `nested`
Summing a sequence	tlaplus_Examples	ceeaa90	specifications/LoopInvariance	SumSequence	1	yes	yes	specifications/LoopInvariance/README.txt	MIT	unattempted	0.0	`SumSequence.tla:121-124` `TypeOK == seq \in Seq(Values) /\ sum \in Int /\ n \in 1..(Len(seq)+1)`, pure scalar/sequence state; auto_level's 4 over-promotes
The Coffee Can bean-color puzzle	tlaplus_Examples	ceeaa90	specifications/CoffeeCan	CoffeeCan	1	yes	yes		MIT	unattempted	0.0	`VARIABLES can` (line 44) is a single record `[black : 0..MaxBeanCount, white : 0..MaxBeanCount]` (`Can`, line 47), one composite scalar value, not an entity-indexed function; auto_level's 2 comes from the `EXCEPT` updates to that one record (lines 62, 67, 73), which the heuristic over-reads as function-valued state
Water-jug puzzle (Die Hard 3), fixed 3/5-gallon instance	tlaplus_Examples	ceeaa90	specifications/DieHard	DieHard	1	yes	yes	specifications/DieHard/README	MIT	yes	0.7	`TypeOK == /\ small \in 0..3 /\ big \in 0..5` (`DieHard.tla:38-39`) over two scalar VARIABLES (`DieHard.tla:19`)
Cluster membership reconfiguration: a Raft-style cluster's current server set changes one node at a time, or via a direct jump, while preserving majority-quorum overlap between old and new configurations	will62794_logless-reconfig	05178a7	notes/raft_reconfig_bug	quorums	1	yes	no		NONE FOUND	unattempted	0.0	`quorums.tla:5` `VARIABLE C`; `Init == C \in (SUBSET Server) /\ C # {}` (line 27), a single set-valued variable, an algorithm (quorum-overlap check) with an invariant over it
Quorum coverage, fencing phase	Vanlightly_bookkeeper-tlaplus	fe199dc		QuorumCoverageFencing	2	yes	yes	README.md	MIT	unattempted	0.0	one function-valued variable `state: ensemble -> response`, rest are scalars/sets (`ensemble_size`, `curr_ensemble`, `aq`), `QuorumCoverageFencing.tla:29`
Quorum coverage, recovery-reads phase	Vanlightly_bookkeeper-tlaplus	fe199dc		QuorumCoverageRecoveryReads	2	yes	yes	README.md	MIT	unattempted	0.0	one function-valued variable `state`, rest scalars/sets (`curr_ensemble`, `write_set`, `wq`, `aq`), `QuorumCoverageRecoveryReads.tla:32`
Concurrent counter increment (N threads bump a shared counter; a split get-then-set is racy, a single combined step is atomic)	hwayne_tlaplus-exercises	93dbe92	passfail/threads	threads_fail;threads_pass	2	no	yes		MIT	unattempted	0.0	`threads_pass.tla:4` `VARIABLES pc, counter`, `pc` is one function over 5 threads (`pc = [t \in Threads
Critical-section mutual exclusion (pass/fail exercise pair)	hwayne_tlaplus-exercises	93dbe92	passfail/criticalsection	cs_pass;cs_fail	2	yes	no		MIT	unattempted	0.0	one function `pc: Threads -> {"waiting","cs"}` over two threads, plus a scalar `lock` in the passing variant, `cs_pass.tla` VARIABLES line 4; `cs_fail` drops `lock` entirely (same line)
Two-phase commit with a transaction manager (extends Lamport's classic P2TCommit with an explicit TM that can fail)	muratdem_PlusCal-examples	559f4b1	2PCTM	2PCwithBTM	2	no	yes		NONE FOUND	unattempted	0.0	`2PCwithBTM.tla:63` (BEGIN TRANSLATION) `VARIABLES rmState, tmState, pc`; `rmState = [rm \in RM
Append-only replicated log (single log, per-node execution cursor)	tlaplus_Examples	ceeaa90	specifications/FiniteMonotonic	ReplicatedLog	2	yes	yes	specifications/FiniteMonotonic/README.md	MIT	unattempted	0.0	`VARIABLES log, executed` (ReplicatedLog.tla:6): `executed` is the one function over `Node` (few entities); `log` is a plain, unindexed sequence, not a second entity-indexed function
Asynchronous handshake channel (send/receive over a single-slot channel with ready/ack bits)	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/FIFO	Channel	2	yes	no	specifications/SpecifyingSystems/FIFO/README	MIT	unattempted	0.0	`Channel.tla:4` `VARIABLE chan`; `chan \in [val : Data, rdy : {0,1}, ack : {0,1}]` (line 6), one record-valued state, one entity (the channel)
Chameneos concurrency game	tlaplus_Examples	ceeaa90	specifications/Chameneos	Chameneos	2	yes	no	specifications/Chameneos/README.md	MIT	yes	1.4	`Chameneos.tla:36-40` `TypeOK == chameneoses \in [ChameneosID -> (Color \cup {Faded}) \X (0..N)]`, one function as state (`chameneoses`), plus two scalars (`meetingPlace`, `numMeetings`); few entities (M chameneoses)
Cigarette smokers problem (Patil 1971)	tlaplus_Examples	ceeaa90	specifications/CigaretteSmokers	CigaretteSmokers	2	yes	yes	specifications/CigaretteSmokers/README.md	MIT	yes	0.5	`CigaretteSmokers.tla:21-22` (`TypeOK == smokers \in [Ingredients -> [smoking: BOOLEAN]] /\ dealer \in Offers \/ dealer = {}`) is one function over a small entity set (`Ingredients`) plus one scalar-ish side variable; `auto_level` reads 4 off the `FairSpec`/`WF_vars` at `:45`, but the state itself never becomes tier-3 (several/nested functions), so this stays at 2 rather than 4
Conway's Game of Life (asynchronous variant)	tlaplus_Examples	ceeaa90	specifications/GameOfLife	GameOfLife	2	yes	yes	specifications/GameOfLife/README.md	MIT	yes	11.3	single `VARIABLE grid` with `TypeOK == grid \in [Pos -> BOOLEAN]` (`GameOfLife.tla:4-11`), one function as state; overriding the auto-heuristic's 3, which is misled by the `nested` flag from the helper `sc[<<x,y>>\in...]` definition, not the state itself
Dijkstra's self-stabilizing token ring (EWD426)	tlaplus_Examples	ceeaa90	specifications/ewd426	TokenRing	2	yes	no		MIT	yes	2.0	one function `c` over a small entity set, `TokenRing.tla:17-20` (`TypeOK == c \in [Node -> 0..M-1]`); `Stab == <>[]UniqueToken` (`:44-45`) makes progress/stabilization the algorithm's whole point, but the state never leaves the single-function/few-entities shape, so it stays 2 rather than 4
Lexicographically-least circular substring (Booth's algorithm): find the smallest rotation of a string	tlaplus_Examples	ceeaa90	specifications/LeastCircularSubstring	LeastCircularSubstring	2	yes	yes	specifications/LeastCircularSubstring/README.md	MIT	unattempted	0.0	`LeastCircularSubstring.tla:50` `VARIABLES b, n, f, i, j, k, pc`, `b` is the fixed input sequence, `f` is the one evolving function (a failure-function array indexed by position), the rest are scalar indices; no second entity kind or nesting
One-step Byzantine consensus (counter-abstraction model)	tlaplus_Examples	ceeaa90	specifications/cf1s-folklore	cf1s_folklore	2	yes	no	specifications/cf1s-folklore/README.md	MIT	timeout	45.1	only `pc: Proc -> Status` is function-valued; every other variable (`nSnt0`, `nSnt1`, `nSnt0F`, `nSnt1F`, `nFaulty`, `nRcvd0`, `nRcvd1`) is a scalar counter, `cf1s_folklore.tla:21-31` (VARIABLES block)
Single-lane bridge traffic control	tlaplus_Examples	ceeaa90	specifications/SingleLaneBridge	SingleLaneBridge	2	yes	no		MIT	unattempted	0.0	one function `Location: Cars -> Positions` plus a queue `WaitingBeforeBridge`, over a small set of named cars, `SingleLaneBridge.tla:13`
Tower of Hanoi (N towers, bitmask encoding)	tlaplus_Examples	ceeaa90	specifications/tower_of_hanoi/Hanoi.toolbox/Model_1	Hanoi	2	no	yes		MIT	unattempted	0.0	one function as state over a small entity set, `Hanoi.tla:31-32` (`VARIABLES towers`, `Init` builds `[i \in 1..N
Tower of Hanoi puzzle, two encodings (natural-number heights vs. sequences of disks)	tlaplus_Examples	ceeaa90	specifications/tower_of_hanoi	Hanoi;HanoiSeq	2	yes	yes	specifications/tower_of_hanoi/README.md	MIT	unattempted	0.0	single `VARIABLE towers` in both (per README: "modeled as natural numbers" / "modeled as ... sequences of integers"), one function/structure as state, few entities (disks, rods)
Water-jug puzzle, generalized to N jugs of arbitrary capacity	tlaplus_Examples	ceeaa90	specifications/DieHard	DieHarder	2	yes	yes	specifications/DieHard/README	MIT	unattempted	0.0	single `VARIABLE contents` with `TypeOK == contents \in [Jug -> Nat]` (`DieHarder.tla:32,34`), one function, few entities (jugs)
Ledger chaining into a single log	Vanlightly_bookkeeper-tlaplus	fe199dc		LedgerChaining	3	yes	yes	README.md	MIT	yes	12.6	four metadata functions (`md_llist`, `md_ledgers`, ...) plus per-client state relate clients, ledgers and a metadata store, `LedgerChaining.tla:29` (VARIABLES `c_state`), `:32` (metadata VARIABLES block)
Flexible Raft (Flexible-Paxos-style configurable election/replication quorums applied to Raft)	Vanlightly_raft-tlaplus	69ad9d6	specifications/flexible-raft	FlexibleRaft	3	yes	yes		MIT	timeout	45.1	eleven `VARIABLE`s (`FlexibleRaft.tla:63-107`), several nested per-server (`log`, `nextIndex`, `matchIndex`), no liveness declared (`liveness:false`), so it stops short of tier 4's progress criterion
Raft consensus with fsync/durability modeling	Vanlightly_raft-tlaplus	69ad9d6	specifications/raft-and-fsync	RaftFsync	3	yes	yes		MIT	yes	11.4	`RaftFsync.tla:77-108` declares several per-server functions (`currentTerm`, `state`, `votedFor`, `log`, `commitIndex`, `fsyncIndex`, `nextIndex`, `matchIndex`) relating servers/quorums, and `RaftFsync.tla:542` (`Spec == Init /\ [][Next]_vars`) has no fairness clause, so progress is not asserted
Crash-safe metadata/manifest file storage: writing metadata and a manifest that references it by generation number, surviving partial/dirty writes	elastic_elasticsearch-formal-models	ca30663	Storage/tla	Storage	3	yes	no		Apache-2.0	unattempted	0.0	`Storage.tla:8-13` `VARIABLES metadata, manifest, newMeta, newManifest, state, possibleStates`, two functions (`metadata`: generation to content, `manifest`: index to a referenced generation) related to each other by generation number, no refinement instance
Elasticsearch primary/replica shard data-replication protocol	elastic_elasticsearch-formal-models	ca30663	data/tla	replication	3	yes	yes		Apache-2.0	unattempted	0.0	ten `VARIABLE`s (`replication.tla:131-250`), several nested per-node (`clusterStateOnNode`, `tlog`), several functions/nested state, rules relating primary and replica nodes
Zen consensus algorithm with reconfiguration (Elasticsearch cluster coordination)	elastic_elasticsearch-formal-models	ca30663	cluster/tla	consensus	3	yes	no		Apache-2.0	unattempted	0.0	`consensus.tla:44-56` ten per-node functions (`currentTerm`, `joinVotes`, `electionWon`, `publishVotes`, etc.), several functions relating nodes via quorums (`IsQuorum`, `IntersectingQuorums` at `consensus.tla:63-68`); no `WF_`/`SF_`/leads-to anywhere and no `INSTANCE`, so no progress or refinement trigger to push past 3
etcd Raft consensus with membership reconfiguration	etcd-io_raft	3cbf6a7	tla	etcdraft	3	yes	yes	tla/README.md	Apache-2.0	no	0.8	several per-server/config functions (`state`, `votedFor`, `log`, `matchIndex`, `config`) declared across `etcdraft.tla:64-140`; `etcdraft.tla:750` (`Spec == Init /\ [][Next]_vars`) carries no fairness, so no progress property is asserted
Voldemort-style replicated KV store, quorum replication with client-side routing	muratdem_PlusCal-examples	559f4b1	VoldemortKV	voldemortSimple	3	yes	yes	VoldemortKV/README.md	NONE FOUND	unattempted	0.0	`voldemortSimple.tla` (BEGIN TRANSLATION) `VARIABLES FailNum, up, db, pc`, `up` (node availability, function) and `db` (per-node function to a *set* of versioned records) are two functions relating nodes through quorum overlap (`ReturnReadQ`/`ReturnWriteQ` select subsets of `UpNodes`); no refinement instance
Raft consensus algorithm (the canonical spec)	ongardie_raft.tla	6ecbdbc		raft	3	yes	yes	README.md	NONE FOUND	unattempted	0.0	thirteen `VARIABLE`s (`raft.tla:32-85`), several nested per-server (`log`, `voterLog`, `nextIndex`), no liveness declared
Asynchronous Byzantine broadcast/consensus (Bracha-Toueg): N processes, up to F Byzantine, exchange ECHO/READY messages to agree on a value	tlaplus_Examples	ceeaa90	specifications/aba-asyn-byz	aba_asyn_byz	3	yes	yes	specifications/aba-asyn-byz/README.md	MIT	timeout	45.1	`aba_asyn_byz.tla:42,139` `pc \in [Proc -> Location]`; `nRcvdE`/`nRcvdR` are also per-process functions (`Init`, line 38-39), several functions over N processes gated by message-count thresholds (`guardE`, `guardR1`, `guardR2`), no refinement instance
BOSCO one-step Byzantine asynchronous consensus	tlaplus_Examples	ceeaa90	specifications/bosco	bosco	3	yes	yes	specifications/bosco/README.md	MIT	timeout	45.1	`VARIABLE pc, rcvd, sent` (`bosco.tla:22,50`), per-process functions relating correct vs. faulty processes exchanging ECHO0/ECHO1 messages (`bosco.tla:44-49`); no INSTANCE, so this is the same PlusCal/EXCEPT over-promotion as Slush, not real refinement
Dijkstra's first mutual-exclusion algorithm (1965)	tlaplus_Examples	ceeaa90	specifications/dijkstra-mutex/DijkstraMutex.toolbox/LSpec-model	DijkstraMutex	3	yes	yes		MIT	unattempted	0.0	`DijkstraMutex.tla:98` `VARIABLES b, c, k, pc, temp`, two boolean functions per process (`b`, `c`) plus a scalar "favored process" pointer `k` that relates every process's exclusion decision to every other's flags
Dining philosophers (Chandy-Misra fork-passing solution)	tlaplus_Examples	ceeaa90	specifications/DiningPhilosophers	DiningPhilosophers	3	no	no		MIT	yes	1.0	`DiningPhilosophers.tla:117` `VARIABLES forks, pc`, `forks` is one *nested* function (`[fork \in 1..NP
Distributed replicated log (independent per-server logs with lag-bounded copy)	tlaplus_Examples	ceeaa90	specifications/FiniteMonotonic	DistributedReplicatedLog	3	yes	yes	specifications/FiniteMonotonic/README.md	MIT	unattempted	0.0	`TypeOK == cLogs \in [Servers -> Seq(Values)]` (DistributedReplicatedLog.tla:18) is a function of servers to sequences, and `Copy(i)` compares `cLogs[j]` against `cLogs[i]` across servers, rules relating entities
Echo algorithm for spanning-tree construction over a graph	tlaplus_Examples	ceeaa90	specifications/echo	Echo	3	yes	no		MIT	unattempted	0.0	`VARIABLES inbox, pc` then per-process `parent, children, rcvd, nbrs` (`Echo.tla:77,88`), several/nested functions from PlusCal translation, no INSTANCE/refinement
FIFO built from two channels plus an internal queue	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/FIFO	InnerFIFO;InnerFIFOInstanced	3	yes	no	specifications/SpecifyingSystems/FIFO/README	MIT	unattempted	0.0	`InnerFIFO.tla:4` `VARIABLES in, out, q`, three function-valued components (two channel records `in`/`out`, one sequence `q`); no refinement claim is made (`InnerFIFO.tla` end: `THEOREM Spec => []TypeInvariant`, an invariance theorem, not an `M!Spec` abstraction claim), the two `INSTANCE Channel` uses are same-level composition, not refinement
Grow-only counter CRDT	tlaplus_Examples	ceeaa90	specifications/FiniteMonotonic	CRDT	3	yes	yes	specifications/FiniteMonotonic/README.md	MIT	unattempted	0.0	`TypeOK == counter \in [Node -> [Node -> Nat]]` (CRDT.tla:11) is a nested function, and `Gossip` merges one node's view against another's, rules relating entities
N processes on shared/local registers (Lamport's "Teaching Concurrency" example)	tlaplus_Examples	ceeaa90	specifications/TeachingConcurrency	Simple;SimpleRegular	3	yes	yes	specifications/TeachingConcurrency/README.txt	MIT	no	0.3	`Simple.tla:37,90` `VARIABLES x, y, pc`, `TypeOK == x \in [0..(N-1) -> {0,1}]`, several per-process functions, and the algorithm's whole point is a rule relating neighboring entities (`Simple.tla:32`: `y[self] := x[(self-1) % N]`, one process reading its neighbor's register); no fairness/leads-to anywhere in either file, so no progress claim to push it to 4
Non-blocking atomic commitment with failure detectors	tlaplus_Examples	ceeaa90	specifications/nbacg_guer01	nbacg_guer01	3	yes	no	specifications/nbacg_guer01/README.md	MIT	yes	5.0	two function-valued variables, `pc: Proc -> Status` and `someFail: Proc -> BOOLEAN` (the failure detector), plus five scalar counters, `nbacg_guer01.tla:20-28` (VARIABLES), `:46` (`someFail \in [Proc -> BOOLEAN]`)
Prisoners-and-single-switch coordination puzzle	tlaplus_Examples	ceeaa90	specifications/Prisoners_Single_Switch	Prisoner	3	yes	yes	specifications/Prisoners_Single_Switch/README.md	MIT	yes	0.6	`TypeOK` shows only one true function, `signalled \in [NormalPrisoner -> 0..2]`, alongside scalars/sets (`count`,`announced`,`light`,`has_visited`), closer to tier 2 by strict function count, but the puzzle's whole strategy is a *rule relating two entity roles* (a `Designated_Counter` vs `NormalPrisoner`s) (README "the strategy is..."), which is tier 3's other criterion; see Notes
Sailfish / Sailfish++ DAG-based BFT consensus	tlaplus_Examples	ceeaa90	specifications/dag-consensus	Sailfish	3	yes	yes	specifications/dag-consensus/README.md	MIT	unattempted	0.0	`VARIABLES vs, es` (DAG vertices/edges) and `VARIABLES round, log` (per-node) (`Sailfish.tla:140,148`), several/nested functions; `Sailfish.tla:53` `INSTANCE BlockDag` is a plain shared-definitions import (no `WITH` substitution, no refinement THEOREM), so it is not the refinement kind of `instance` that would justify tier 5
Slush protocol (Avalanche-family probabilistic gossip consensus)	tlaplus_Examples	ceeaa90	specifications/SlushProtocol	Slush	3	yes	yes		MIT	unattempted	0.0	PlusCal per-process state (`pick,message,pc,sampleSet,loopVariant`, `Slush.tla:223,287,289`) is several/nested functions from the translation, not a refinement, no INSTANCE anywhere; overriding the auto-heuristic's 5, which is the documented over-promotion from PlusCal's `pc` and per-process EXCEPT arrays
Spanning-tree computation on a graph (base spec, TLC test wrapper, randomized-edges model)	tlaplus_Examples	ceeaa90	specifications/SpanningTree	SpanTree;SpanTreeTest;SpanTreeRandom	3	yes	yes	specifications/SpanningTree/README.txt	MIT	yes	1.1	`VARIABLES mom, dist` (SpanTree.tla:60), two functions over `Nodes`, plus `Nbrs(n) == {m \in Nodes : {m,n} \in Edges}` (SpanTree.tla:54) relates each node to its graph neighbors
TCP connection handshake/teardown finite-state machine (RFC 9293, two peers)	tlaplus_Examples	ceeaa90	specifications/tcp	tcp	3	yes	no		MIT	unattempted	0.0	`TypeOK == tcb \in [Peers->BOOLEAN] /\ connstate \in [Peers->States] /\ network \in [Peers->Seq(...)]` (`tcp.tla:19-27`), three functions, one nested (`network`); no genuine liveness/temporal property beyond the `[][Next]_vars` safety spec, so it doesn't reach tier 4's progress criterion despite the JSON's `liveness:true`
BookKeeper ledger replication protocol (master, limbo proposal, v4.13-defect variants)	Vanlightly_bookkeeper-tlaplus	fe199dc		BookKeeperProtocol;BookKeeperProtocolWithLimbo;BookKeeperProtocol_v4_13	4	yes	yes	README.md	MIT	yes	1.3	`ClientState` is a nested nine-field record (`fragments: [Nat -> Fragment]`, `recovery_phase: 0..ReadWritePhase`, ...) over per-bookie functions `b_entries`/`b_fenced`/`b_lac`, several functions plus explicit recovery-phase progress, `BookKeeperProtocol.tla:42` (VARIABLES), `BookKeeperProtocol.tla:101` (`ClientState`)
Kafka consumer-group membership protocol (KIP-848): clients join/leave a group, the coordinator tracks membership epochs and target partition assignment, converging to a stable state	Vanlightly_kafka-tlaplus	823615e	groupprotocol	consumer_group_protocol_kip_848;consumer_group_protocol_kip_848_v2	4	yes	no		MIT	yes	4.3	`consumer_group_protocol_kip_848_v2.tla:53-66`, nested per-member/per-client functions (`group_member_state`, `client_state` map ids to status records) relating two distinct entity kinds (group vs. client side); the system's whole point is the `Converged` predicate (lines ~97-112) reaching a stable target assignment across both sides, progress/convergence is the question, no explicit refinement instance
Kafka transaction protocol, phase 2 (AddPartitionsToTxn)	Vanlightly_kafka-tlaplus	823615e	transactions/diary/02_AddPartitionsToTxn/tlaplus	kafka_transactions	4	yes	yes	transactions/diary/02_AddPartitionsToTxn/tlaplus/README.md	MIT	yes	3.0	`kafka_transactions.tla:50-68` per-entity functions (`client[ct].pid`, `tc_tid_metadata` per transaction id, `txn_log_leader` map); `kafka_transactions.tla:1022-1037` `LivenessSpec` built from per-action `SF_vars`/`WF_vars` fairness, progress (requests eventually get responses, leadership eventually settles) is explicitly checked; no `INSTANCE`/refinement present, so not 5
Kafka transaction-coordinator protocol, Stage 1 (InitPidRequest handshake)	Vanlightly_kafka-tlaplus	823615e	transactions/diary/01_InitPidRequest/tlaplus	kafka_transactions	4	yes	no		MIT	yes	1.4	six-plus functions relate three entity kinds, clients, per-broker transaction/partition metadata, and a replicated txn log with its own high-water mark, `kafka_transactions.tla:62` (VARIABLES); a client's own progress through `Ready -> SentInitPidRequest -> HasPid` and the log's replication to `txn_log_hwm` make progress the central concern, matching tier-4 rather than a bare tier-3 snapshot
Kafka KRaft consensus protocol	Vanlightly_raft-tlaplus	69ad9d6	specifications/pull-raft	KRaft;KRaftWithReconfig	4	yes	yes		MIT	yes	14.2	`KRaft.tla:100-144` per-server functions (`log`, `pendingFetch`, `votedFor`); `KRaftWithReconfig.tla` adds `config`/`servers` for reconfiguration, same protocol; explicit `LivenessSpec == Init /\ [][Next]_vars /\ NoStuttering` with `WF_vars(Next)` at `KRaft.tla:849,853` and `KRaftWithReconfig.tla:1759,1763`, progress is checked, not just possible
Pull-based Raft consensus (generic model)	Vanlightly_raft-tlaplus	69ad9d6	specifications/pull-raft	PullRaft;PullRaftVariant2	4	yes	yes		MIT	yes	8.5	`PullRaft.tla:70-113` declares per-server functions (`log`, `state`, `matchIndex`, `votesGranted`); `PullRaftVariant2.tla:11-24` is explicitly the same protocol with a different leader-notify timing, so one system; Raft's leader election/log convergence is a progress property even though this cfg checks only `LeaderHasAllAckedValues`/`NoLogDivergence` safety (`PullRaft.cfg`)
